?_MCP (°),?_PIP (°),?_DIP (°)
0,0,0
-0.000103639,-7.75E-05,-0.000148384
-0.000541341,-0.000409753,-0.000769873
-0.001248935,-0.000958884,-0.001762644
-0.002109894,-0.001644879,-0.002952739
-0.003047166,-0.002413894,-0.004226102
-0.00401983,-0.003236897,-0.005522593
-0.005008207,-0.004099508,-0.00681371
-0.006003355,-0.004994695,-0.008086999
-0.007001358,-0.005918797,-0.009337588
-0.008000545,-0.006869589,-0.010564062
-0.009000217,-0.007845402,-0.011766567
-0.010000086,-0.008844751,-0.012945957
-0.011000034,-0.009866184,-0.014103431
-0.012000013,-0.010908225,-0.015240358
-0.013000005,-0.011969371,-0.016358203
-0.014000002,-0.013048087,-0.017458482
-0.015000001,-0.014142823,-0.018542739
-0.016,-0.015252023,-0.019612528
-0.017,-0.016374139,-0.020669396
-0.018,-0.017507643,-0.021714869
-0.019,-0.018651038,-0.022750447
-0.02,-0.019802865,-0.023777586
-0.021,-0.020961716,-0.024797695
-0.022,-0.022126239,-0.025812127
-0.023,-0.023295143,-0.026822171
-0.024,-0.02446721,-0.027829047
-0.025,-0.02564129,-0.028833904
-0.026,-0.026816313,-0.029837811
-0.027,-0.027991286,-0.030841763
-0.028,-0.029165299,-0.031846669
-0.029,-0.030337521,-0.03285336
-0.03,-0.031507206,-0.033862582
-0.031,-0.032673687,-0.034875002
-0.032,-0.033836378,-0.035891206
-0.033,-0.034994772,-0.036911701
-0.034,-0.036148439,-0.037936918
-0.035,-0.037297021,-0.038967213
-0.036,-0.038440233,-0.040002873
-0.037,-0.039577854,-0.041044117
-0.038,-0.040709731,-0.042091099
-0.039,-0.041835768,-0.043143916
-0.04,-0.042955924,-0.044202608
-0.041,-0.044070212,-0.045267162
-0.042,-0.04517869,-0.046337519
-0.043,-0.046281461,-0.047413579
-0.044,-0.047378664,-0.048495199
-0.045,-0.048470476,-0.049582205
-0.046,-0.0495571,-0.050674393
-0.047,-0.050638769,-0.051771531
-0.048,-0.051715734,-0.052873366
-0.049,-0.052788266,-0.053979628
-0.05,-0.053856652,-0.05509003
-0.051,-0.054921188,-0.056204277
-0.052,-0.055982177,-0.057322064
-0.053,-0.057039928,-0.058443083
-0.054,-0.058094751,-0.059567025
-0.055,-0.059146955,-0.060693579
-0.056,-0.060196845,-0.061822442
-0.057,-0.061244721,-0.062953313
-0.058,-0.062290875,-0.0640859
-0.059,-0.063335588,-0.065219921
-0.06,-0.064379133,-0.066355106
-0.061,-0.065421767,-0.067491194
-0.062,-0.066463736,-0.068627942
-0.063,-0.067505272,-0.069765118
-0.064,-0.068546588,-0.070902506
-0.065,-0.069587886,-0.072039907
-0.066,-0.07062935,-0.073177137
-0.067,-0.071671146,-0.074314028
-0.068,-0.072713426,-0.075450429
-0.069,-0.073756325,-0.076586206
-0.07,-0.074799962,-0.077721238
-0.071,-0.07584444,-0.078855424
-0.072,-0.076889846,-0.079988675
-0.073,-0.077936254,-0.081120918
-0.074,-0.078983724,-0.082252094
-0.075,-0.080032299,-0.083382159
-0.076,-0.081082013,-0.084511078
-0.077,-0.082132886,-0.085638833
-0.078,-0.083184928,-0.086765413
-0.079,-0.084238137,-0.087890819
-0.08,-0.085292503,-0.089015063
-0.081,-0.086348007,-0.090138163
-0.082,-0.087404622,-0.091260146
-0.083,-0.088462313,-0.092381047
-0.084,-0.089521041,-0.093500905
-0.085,-0.090580759,-0.094619767
-0.086,-0.091641419,-0.095737681
-0.087,-0.092702967,-0.096854702
-0.088,-0.093765345,-0.097970885
-0.089,-0.094828495,-0.099086291
-0.09,-0.095892358,-0.100200979
-0.091,-0.09695687,-0.101315011
-0.092,-0.098021971,-0.102428449
-0.093,-0.099087598,-0.103541353
-0.094,-0.100153692,-0.104653786
-0.095,-0.101220191,-0.105765807
-0.096,-0.102287038,-0.106877475
-0.097,-0.103354175,-0.107988846
-0.098,-0.104421549,-0.109099974
-0.099,-0.105489108,-0.110210912
-0.1,-0.106556802,-0.111321708
-0.101,-0.107624585,-0.11243241
-0.102,-0.108692414,-0.11354306
-0.103,-0.109760247,-0.114653699
-0.104,-0.110828049,-0.115764364
-0.105,-0.111895786,-0.116875088
-0.106,-0.112963426,-0.117985903
-0.107,-0.114030942,-0.119096835
-0.108,-0.115098311,-0.120207909
-0.109,-0.116165511,-0.121319146
-0.11,-0.117232525,-0.122430563
-0.111,-0.118299337,-0.123542176
-0.112,-0.119365935,-0.124653996
-0.113,-0.120432311,-0.125766034
-0.114,-0.121498456,-0.126878295
-0.115,-0.122564367,-0.127990785
-0.116,-0.123630042,-0.129103505
-0.117,-0.124695481,-0.130216455
-0.118,-0.125760685,-0.131329635
-0.119,-0.126825658,-0.132443039
-0.12,-0.127890405,-0.133556662
-0.121,-0.128954933,-0.134670499
-0.122,-0.13001925,-0.135784542
-0.123,-0.131083364,-0.13689878
-0.124,-0.132147286,-0.138013206
-0.125,-0.133211026,-0.139127807
-0.126,-0.134274595,-0.140242573
-0.127,-0.135338006,-0.141357491
-0.128,-0.136401269,-0.142472551
-0.129,-0.137464398,-0.14358774
-0.13,-0.138527404,-0.144703045
-0.131,-0.1395903,-0.145818454
