?_MCP (°),?_PIP (°),?_DIP (°)
-19.99972596,-20.36335474,-21.35716733
-20.00626691,-2.03E+01,-21.39970341
-20.02557373,-20.24595072,-21.52526584
-20.05715342,-20.10246102,-21.73067802
-20.10048935,-19.90546167,-22.01262707
-20.15504314,-19.65731262,-22.36767488
-20.22025649,-19.36044484,-22.79226915
-20.29555303,-19.01735398,-23.28275423
-20.38034017,-18.63059411,-23.83538201
-20.47401091,-18.20277165,-24.44632249
-20.57594573,-17.73653948,-25.11167432
-20.68551449,-17.23459122,-25.82747505
-20.80207835,-16.69965571,-26.58971129
-20.92499174,-16.13449161,-27.39432874
-21.05360442,-15.54188208,-28.23724219
-21.18726349,-14.9246295,-29.11434546
-21.32531551,-14.28555005,-30.02152148
-21.46710865,-13.62746817,-30.95465252
-21.61199486,-12.95321079,-31.9096306
-21.75933207,-12.26560118,-32.88236823
-21.90848637,-11.56745243,-33.86880941
-22.05883422,-10.86156045,-34.86494109
-22.20976464,-10.15069651,-35.86680487
-22.36068132,-9.437599237,-36.87050911
-22.51100476,-8.724966118,-37.87224136
-22.66017424,-8.015444583,-38.86828096
-22.80764978,-7.311622639,-39.85501185
-22.95291395,-6.616019221,-40.82893536
-23.09547356,-5.931074332,-41.78668293
-23.23486124,-5.259139113,-42.72502859
-23.37063685,-4.602465973,-43.64090098
-23.50238871,-3.963198941,-44.53139489
-23.62973469,-3.343364387,-45.393782
-23.75232311,-2.744862267,-46.22552074
-23.86983345,-2.169458043,-47.02426524
-23.98197687,-1.6187754,-47.78787292
-24.0884966,-1.094289888,-48.51441105
-24.18916806,-0.597323594,-49.20216178
-24.28379885,-0.129040902,-49.8496259
